Topic,Count,Name,Representation,Representative_Docs,generatedTopic,isPositiveSentiment,product
4,11,4_best_able_ai_technology,"['best', 'able', 'ai', 'technology', 'shopping', 'servive', 'review', 'returning', 'remedial', 'putting']","['review based fact', 'ai remedial best', 'servive best buy']",AI-driven improvements in customer service and product reliability.,False,"Echo (White),,,
Echo (White),,,"
0,2062,0_music_echo_bought_alexa,"['music', 'echo', 'bought', 'alexa', 'weather', 'play', 'use', 'easy', 'listen', 'home']","['music play', 'like play music', 'weather play music']",Entertainment on the Go,True,"Echo (White),,,
Echo (White),,,"
1,1777,1_doesnt_use_need_dont,"['doesnt', 'use', 'need', 'dont', 'echo', 'didnt', 'amazon', 'used', 'havent', 'needs']","['echo home use', 'set use doesnt', 'amazon echo use']",**Topic: The Expanding Role of Smart Devices in Everyday Life**,True,"Echo (White),,,
Echo (White),,,"
2,1142,2_great_fun_product_good,"['great', 'fun', 'product', 'good', 'amazing', 'awesome', 'echo', 'enjoy', 'works', 'use']","['echo great product', 'echo great product', 'echo great product']",The growing ecosystem of smart devices.,True,"Echo (White),,,
Echo (White),,,"
3,852,3_alexa_amazon_easy_use,"['alexa', 'amazon', 'easy', 'use', 'echo', 'better', 'ask', 'set', 'home', 'like']","['amazon echo easy', 'amazon alexa', 'amazon echo alexa']",Ease of Voice Assistant Integration,True,"Echo (White),,,
Echo (White),,,"
4,693,4_love_loves_echo_alexa,"['love', 'loves', 'echo', 'alexa', 'loved', 'family', 'wife', 'amazon', 'gift', 'christmas']","['echo love music', 'love alexa echo', 'love love love']",The Growing Integration of Voice Assistants in Everyday Life,True,"Echo (White),,,
Echo (White),,,"
0,19,0_problem_error_tv_device,"['problem', 'error', 'tv', 'device', 'connection', 'read', 'login', 'didnt', 'leave', 'wrong']","['problem hip softwaredecoded', 'problem tv box', 'tv problem reason']",Software and device compatibility issues,False,
1,17,1_working_extremely_defective_compared,"['working', 'extremely', 'defective', 'compared', 'defeats', 'comes', 'dead', 'cheap', 'customer', 'claim']","['constantly froze working', 'stops working comes', 'working freezes old']",Frequent Freezing and Performance Issues,False,
2,14,2_time_amazon_lot_stuck,"['time', 'amazon', 'lot', 'stuck', 'pay', 'told', 'boot', 'hate', 'lags', 'little']","['netflix time hate', 'lot time subscribing', 'hard time trying']",Content Access Challenges,False,
3,12,3_store_dont_buffer_weve,"['store', 'dont', 'buffer', 'weve', 'checked', 'care', 'need', 'dvd', 'hdr', 'cable']","['connection returning store', 'product dont know', 'dont care live']",**Topic: User Experience with Digital Content and Device Reliability**,False,
4,11,4_definitely_wish_server_spectrum,"['definitely', 'wish', 'server', 'spectrum', 'hulu', 'great', 'good', 'accessibility', 'free', 'fast']","['good product definitely', 'unit great accessibility', 'buy antenna watch']",Versatile Entertainment and Accessibility,False,
0,1496,0_easy_better_tv_use,"['easy', 'better', 'tv', 'use', 'watch', 'movies', 'faster', 'streaming', 'apps', 'works']","['tv apps easy', 'easy use', 'tv easy']",Ease of media consumption and user-friendliness.,True,
1,1372,1_great_love_product_recommend,"['great', 'love', 'product', 'recommend', 'good', 'best', 'works', 'awesome', 'amazon', 'streaming']","['great product', 'great product recommend', 'great product recommend']",Highly Recommended Tech Gadget,True,
2,864,2_stick_cable_tv_need,"['stick', 'cable', 'tv', 'need', 'vue', 'amazon', 'cut', 'firetv', 'want', 'needed']","['amazon stick tv', 'stick tv', 'stick tv']",Streaming Device Performance,True,
3,797,3_dont_cable_doesnt_tv,"['dont', 'cable', 'doesnt', 'tv', 'little', 'problem', 'didnt', 'issues', 'havent', 'lag']","['dont cable good', 'dont watch cable', 'dont use cable']",Cable TV Alternatives and Cord-Cutting Trends,True,
4,448,4_tv_amazon_use_easy,"['tv', 'amazon', 'use', 'easy', 'setup', 'apple', 'netflix', 'roku', 'box', 'sd']","['amazon tv', 'use amazon tv', 'amazon tv use']",Ease of use with Amazon TV connectivity,True,
0,99,0_dont_long_batteries_didnt,"['dont', 'long', 'batteries', 'didnt', 'buy', 'half', 'used', 'work', 'duracell', 'wouldnt']","['dont long', 'dont long batteries', 'dont long batteries']",Battery life and durability concerns.,False,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
1,83,1_batteries_bad_quickly_worst,"['batteries', 'bad', 'quickly', 'worst', 'disappointed', 'die', 'batch', 'horrible', 'garbage', 'crap']","['bad batteries long', 'batteries die quickly', 'batteries die quickly']",Battery life issues,False,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
2,61,2_batteries_battery_life_short,"['batteries', 'battery', 'life', 'short', 'buy', 'low', 'remote', 'terrible', 'cheap', 'replaced']","['short battery life', 'batteries short life', 'batteries short life']",Frequent battery depletion.,False,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
3,59,3_leaking_leaked_leak_use,"['leaking', 'leaked', 'leak', 'use', 'product', 'problem', 'change', 'mouse', 'acid', 'wore']","['leaked battery acid', 'leaked battery acid', 'use batteries leaking']",Battery leakage issues.,False,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
4,31,4_good_long_lasting_batteries,"['good', 'long', 'lasting', 'batteries', 'purchase', 'duracell', 'dont', 'remote', 'lights', 'later']","['good dont week', 'long good batteries', 'batteries good']",**Discussion Topic: Portable Device Longevity**,False,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
0,1090,0_batteries_price_work_great,"['batteries', 'price', 'work', 'great', 'brand', 'long', 'love', 'good', 'buy', 'amazon']","['batteries great price', 'great batteries price', 'great batteries price']",Affordable power for devices,True,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
1,994,1_batteries_long_cheap_dont,"['batteries', 'long', 'cheap', 'dont', 'longer', 'battery', 'need', 'amazon', 'expensive', 'used']","['batteries longer cheap', 'batteries long longer', 'batteries dont long']",Battery life expectations and performance.,True,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
2,647,2_good_great_price_product,"['good', 'great', 'price', 'product', 'batteries', 'work', 'buy', 'value', 'works', 'excellent']","['great product good', 'great price good', 'great price good']",Value and Performance for Everyday Use,True,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
3,225,3_good_value_great_far,"['good', 'value', 'great', 'far', 'work', 'quality', 'deal', 'performance', 'works', 'item']","['good value', 'good value', 'great good value']",Value for Money,True,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
4,56,4_price_great_everyday_charge,"['price', 'great', 'everyday', 'charge', 'brands', 'brand', '', '', '', '']","['great price', 'great price', 'great price']",Affordability and Value,True,AmazonBasics AA Performance Alkaline Batteries (48 Count) - Packaging May Vary
0,19,0_ad_day_like_opportunity,"['ad', 'day', 'like', 'opportunity', 'owned', 'pay', 'horriblejust', 'advertisements', 'single', 'guess']","['advertisements day guess', 'pay single ad', 'pay single ad']",Ad-Free Experience for Tablets,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
1,16,1_run_remove_try_cheap,"['run', 'remove', 'try', 'cheap', 'chrome', 'ipad', 'tablet', 'lack', 'browser', 'buttons']","['try buttons remove', 'cheap run chrome', 'cheap run chrome']",Performance and Value in Budget Tablets,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
2,13,2_minutes_built_use_pieces,"['minutes', 'built', 'use', 'pieces', 'life', 'tablet', 'amazon', 'returning', 'shoot', 'touch']","['built amazon pieces', 'life use minutes', 'life use minutes']",Tablet for everyday use,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
3,12,3_device_dont_videoit_alot,"['device', 'dont', 'videoit', 'alot', 'buffers', 'didnt', 'buy', 'sites', 'shop', 'paperweight']","['videoit buffers alot', 'dont buy device', 'dont buy device']",Streaming Performance Issues,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
4,6,4_size_powerful_brought_tablet,"['size', 'powerful', 'brought', 'tablet', 'way', 'th', 'kindlle', 'exchange', 'different', 'bring']","['brought tablet', 'tablet powerful size', 'tablet powerful size']",**Discussion Topic:** The balance of power and portability in a tablet.,False,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
0,1042,0_tablet_use_ipad_need,"['tablet', 'use', 'ipad', 'need', 'kindle', 'didnt', 'cheap', 'expensive', 'old', 'doesnt']","['tablet use', 'kindle use tablet', 'use tablet']",Tablet Usage and Utility,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
1,704,1_kindle_tablet_books_use,"['kindle', 'tablet', 'books', 'use', 'reading', 'easy', 'bought', 'better', 'apps', 'amazon']","['use tablet easy', 'easy use tablet', 'easy use kindle']",Ease of Use and Accessibility,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
2,691,2_great_easy_price_tablet,"['great', 'easy', 'price', 'tablet', 'use', 'best', 'works', 'recommend', 'size', 'product']","['tablet great price', 'tablet great price', 'tablet great easy']",Affordable and User-Friendly Tablets,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
3,602,3_great_good_love_tablet,"['great', 'good', 'love', 'tablet', 'price', 'nice', 'kindle', 'gift', 'perfect', 'awesome']","['price great', 'good tablet price', 'love tablet good']",Affordable Tablet Value,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
4,501,4_loves_love_bought_daughter,"['loves', 'love', 'bought', 'daughter', 'gift', 'christmas', 'kids', 'wife', 'son', 'old']","['gift daughter loves', 'gift daughter loves', 'bought daughter loves']",Popularity as a Gift for Children,True,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta"
0,8,0_read_big_edition_access,"['read', 'big', 'edition', 'access', 'happytime', 'ereader', 'jumpy', 'ebookwhich', 'backlighting', 'make']","['nice ereader big', 'edition backlighting big', 'people want read']",A New Way to Read,False,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
1,7,1_homepage_nonsense_like_old,"['homepage', 'nonsense', 'like', 'old', 'disappears', 'difficult', 'confusing', 'operate', 'annoying', 'person']","['difficult operate problems', 'like scrolling old', 'homepage disappears search']",Difficulties with Tablet Functionality,False,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
2,6,2_load_dont_buy_apps,"['load', 'dont', 'buy', 'apps', 'best', 'usb', 'returned', 'option', 'kindle', 'instead']","['easy use load', 'best buy instead', 'dont buy dont']",Ease of Use Versus Value for Money,False,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
3,6,3_doesnt_didnt_work_books,"['doesnt', 'didnt', 'work', 'books', 'youtube', 'wouldnt', 'stay', 'preloaded', 'particular', 'page']","['books cloudit doesnt', 'download books didnt', 'didnt work particular']",Troubleshooting E-reader Content Access,False,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
4,3,4_purchased_months_hated_gave,"['purchased', 'months', 'hated', 'gave', 'froze', 'defective', 'brought', 'bestbuy', 'amazon', '']","['months purchased froze', 'amazon hated gave', 'defective brought bestbuy']",Frequent Device Malfunctions and Returns,False,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
0,1005,0_read_easy_kindle_books,"['read', 'easy', 'kindle', 'books', 'reading', 'use', 'better', 'light', 'like', 'book']","['paperwhite easy read', 'reading kindle easy', 'paperwhite easy read']",Easy Reading Experience,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
1,988,1_love_great_loves_kindle,"['love', 'great', 'loves', 'kindle', 'gift', 'reading', 'good', 'best', 'product', 'read']","['kindle love', 'loves read love', 'great reading loves']",Ideal for Reading Enthusiasts,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
2,512,2_battery_dont_didnt_problem,"['battery', 'dont', 'didnt', 'problem', 'device', 'doesnt', 'read', 'long', 'screen', 'wasnt']","['use long battery', 'read dont light', 'kindle dont read']",Optimizing Reading Experience on Tablets,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
3,415,3_paperwhite_kindle_need_old,"['paperwhite', 'kindle', 'need', 'old', 'glare', 'paper', 'books', 'white', 'replace', 'reading']","['kindle paperwhite', 'kindle paperwhite', 'kindle paperwhite']",E-reader comparisons,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
4,225,4_kindle_paperwhite_read_bed,"['kindle', 'paperwhite', 'read', 'bed', 'tablet', 'use', 'like', 'reading', 'ipad', 'easy']","['kindle paperwhite easy', 'kindle paperwhite easy', 'kindle paperwhite easy']",**Comparing E-readers and Tablets for Reading**,True,"Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,,,"
0,31,0_doesnt_didnt_wouldnt_yr,"['doesnt', 'didnt', 'wouldnt', 'yr', 'lack', 'useful', 'dont', 'decided', 'freezes', 'thrilled']","['didnt useful yr', 'didnt useful yr', 'didnt useful yr']",Durability Concerns Over Time,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
1,25,1_confusing_internet_amazon_ended,"['confusing', 'internet', 'amazon', 'ended', 'disappointing', 'return', 'apps', 'junk', 'connect', 'worse']","['ended return disappointing', 'amazon really confusing', 'amazon really confusing']",Frustration with a tech product's user experience.,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
2,18,2_apps_tablet_paid_loaded,"['apps', 'tablet', 'paid', 'loaded', 'like', 'required', 'took', 'storage', 'samsungs', 'protective']","['loaded paid apps', 'loaded paid apps', 'loaded paid apps']",Pre-installed Software Value,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
3,17,3_tablets_repossess_ipad_loose,"['tablets', 'repossess', 'ipad', 'loose', 'got', 'charging', 'gotten', 'bit', 'exaggerating', 'different']","['tablets repossess ipad', 'tablets repossess ipad', 'tablets repossess ipad']",Comparing affordable tablets to premium devices.,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
4,11,4_good_daughter_use_tried,"['good', 'daughter', 'use', 'tried', 'thats', 'thanks', 'ok', 'likes', 'bestbuy', 'quality']","['quality good dont', 'good ok use', 'good ok use']",**Topic: Everyday User Experience and Device Performance**,False,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
0,859,0_tablet_old_doesnt_use,"['tablet', 'old', 'doesnt', 'use', 'dont', 'little', 'slow', 'battery', 'dropped', 'parental']","['tablet children doesnt', 'old easy use', 'great tablet doesnt']",Tablet suitability for children and ease of use.,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
1,711,1_loves_daughter_love_grandson,"['loves', 'daughter', 'love', 'grandson', 'granddaughter', 'old', 'bought', 'tablet', 'son', 'christmas']","['tablet daughter loves', 'tablet daughter loves', 'daughter loves tablet']",**Topic:** **Children's Tablet Experiences**,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
2,664,2_kids_apps_tablet_games,"['kids', 'apps', 'tablet', 'games', 'great', 'use', 'play', 'educational', 'easy', 'kid']","['apps games', 'apps games', 'kids apps']","Tablet usage for apps and games, especially for children.",True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
3,479,3_great_good_love_kids,"['great', 'good', 'love', 'kids', 'fun', 'learning', 'tablet', 'product', 'perfect', 'entertained']","['great tablet kids', 'tablet kids great', 'great tablet kids']",Kids' Entertainment and Learning Tablets,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
4,295,4_easy_tablet_amazon_use,"['easy', 'tablet', 'amazon', 'use', 'bought', 'time', 'free', 'kids', 'games', 'case']","['easy use kids', 'easy kids use', 'tablet easy use']",Ease of use for children.,True,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case"
0,28,0_bad_ads_tablet_tablets,"['bad', 'ads', 'tablet', 'tablets', 'version', 'updated', 'android', 'poor', 'randomly', 'install']","['android tablets bad', 'android tablets bad', 'android tablets bad']",**The Decline of Android Tablets**,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
1,27,1_battery_frustrating_aware_user,"['battery', 'frustrating', 'aware', 'user', 'defect', 'apps', 'expected', 'experience', 'facebook', 'product']","['facebook apps expected', 'facebook apps expected', 'facebook apps expected']",Disappointment with app compatibility.,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
2,20,2_gives_misleading_th_generation,"['gives', 'misleading', 'th', 'generation', 'want', 'work', 'wouldnt', 'impressed', 'disappointed', 'product']","['misleading gives want', 'misleading gives want', 'misleading gives want']",Deceptive Advertising Practices,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
3,5,3_buying_month_iti_want,"['buying', 'month', 'iti', 'want', '', '', '', '', '', '']","['buying month buying', 'buying month buying', 'buying month buying']",**Considerations for purchasing a new tablet.**,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
4,4,4_slower_slow_performance_downloading,"['slower', 'slow', 'performance', 'downloading', 'dont', 'atleast', '', '', '', '']","['slow performance dont', 'slower atleast downloading', 'slower atleast downloading']",Performance Issues and Speed,False,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
0,668,0_tablet_use_wanted_need,"['tablet', 'use', 'wanted', 'need', 'battery', 'cheap', 'kindle', 'doesnt', 'old', 'little']","['purchased tablet use', 'like tablet use', 'wanted tablet']",**Topic: User Experiences with a Popular Tablet Device**,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
1,529,1_love_easy_tablet_use,"['love', 'easy', 'tablet', 'use', 'price', 'kindle', 'loved', 'works', 'best', 'great']","['love tablet best', 'love easy use', 'love easy use']",User-Friendliness and Overall Satisfaction,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
2,467,2_good_great_tablet_price,"['good', 'great', 'tablet', 'price', 'perfect', 'product', 'nice', 'excellent', 'kids', 'quality']","['good tablet price', 'good tablet price', 'good tablet price']",Affordable Tablet Value,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
3,458,3_loves_books_bought_read,"['loves', 'books', 'bought', 'read', 'daughter', 'gift', 'reading', 'old', 'son', 'easy']","['daughter loves read', 'loves daughter bought', 'loves daughter bought']",**Topic:** User Satisfaction and Gifting Potential,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
4,286,4_tablet_amazon_kindle_bought,"['tablet', 'amazon', 'kindle', 'bought', 'easy', 'using', 'play', 'wouldnt', 'replace', 'basic']","['amazon tablet easy', 'amazon tablet easy', 'amazon tablet bought']",User-friendliness and Accessibility,True,"Fire Tablet with Alexa, 7 Display, 16 GB, Blue - with Special Offers"
0,12,0_advertisements_sucks_clunky_consumer,"['advertisements', 'sucks', 'clunky', 'consumer', 'day', 'business', 'charging', 'carrasoul', 'horriblejust', 'browser']","['browser kind clunky', 'advertisements day guess', 'consumer opportunity unbecoming']",**Discussion Topic: User Experience with Budget Tablets**,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
1,10,1_alot_load_wait_videoit,"['alot', 'load', 'wait', 'videoit', 'version', 'vendor', 'wont', 'replacement', 'purchased', 'performance']","['wont load blanking', 'earlier line vendor', 'isnt compatible paperweight']",Compatibility Issues and Product Performance,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
2,9,2_tablet_minutes_diapointed_planning,"['tablet', 'minutes', 'diapointed', 'planning', 'need', 'restarts', 'life', 'library', 'wasnt', 'happy']","['happy tablet unhappy', 'restarts tablet plug', 'planning returning tablet']",Frequent device restarts and performance issues.,False,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"
